tag,time,alt,range,V,Vz,LD,pDOH,eff_p
climbToAlternate,17.815,2595,1471.686,83.34,7.492,16,0,0.8
climbToAlternate,18.018,2730,1488.846,83.34,7.406,16,0,0.8
climbToAlternate,18.228,2865,1506.403,83.34,7.321,16,0,0.8
climbToAlternate,18.441,3000,1524.373,83.34,7.235,16,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.564,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.564,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.564,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.802,3000,5250.564,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.564,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
cruiseToAlternate,37.801,3000,5250.565,138.9,0,14.5,0,0.8
