tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17335.87342203305,15.030560100786385,0.0,0.15846031554299136,0.020201730366083272,11550,5000,0.3330731643205504,1630517.0982200971,4895372.167092044
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17320.855055031105,15.018367001946615,0.0,0.1582236562365487,0.020311742030602493,11550,5000,0.3330959765370967,1629104.6308774508,4890796.483985805
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17305.848883405968,15.006171625135615,0.0,0.15798712831496947,0.020421568947894864,11550,5000,0.33311890147370155,1627693.309357302,4886223.21386288
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17290.854909392743,14.99397401322499,0.0,0.1577507327072268,0.020531210617903146,11550,5000,0.3331419386303532,1626283.1338737188,4881652.368836714
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17275.873135183407,14.981774209335809,0.0,0.1575144703446709,0.020640666541200878,11550,5000,0.3331650875018353,1624874.1046367409,4877083.96104916
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17260.90356292657,14.969572256837395,0.0,0.15727834216098693,0.020749936219025263,11550,5000,0.33318834757775817,1623466.2218523538,4872518.002669573
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17245.946194727225,14.957368199344458,0.0,0.15704234909212064,0.020859019153325085,11550,5000,0.33321171834271995,1622059.4857224699,4867954.505892031
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17231.00103264651,14.945162080716452,0.0,0.15680649207624706,0.020967914846788335,11550,5000,0.33323519927611395,1620653.8964449014,4863393.482937709
cruise,134.326,7620,18657.88,138.9,0.0,14.5,0,0.86,17216.068078701457,14.932953945053406,0.0,0.15657077205367118,0.02107662280290134,11550,5000,0.3332587898523862,1619249.45421334,4858834.946050699
cruise,134.326,7620,18657.879,138.9,0.0,14.5,0,0.86,17201.14733486476,14.920743836695772,0.0,0.1563351899668069,0.021185142525971378,11550,5000,0.33328248954092177,1617846.1592173323,4854278.907499239
